adj,noun,verb,adv,prep,art,punc
large,basketball,unite,again,versus,a,.
interesting,stamp,sail,promptly,up,the,","
alive,vein,separate,softly,unlike,these,;
tawdry,receipt,crawl,terribly,considering,those,:
slimy,person,arrive,searchingly,in,my,-
male,van,tap,crossly,from,her,?
shallow,tendency,guess,violently,during,his,
level,tub,laugh,unabashedly,outside,their,
faint,books,clip,blissfully,without,it,
secretive,winter,switch,positively,at,,
hurt,governor,owe,currently,toward,,
cooperative,fireman,peel,offensively,down,,
helpful,land,avoid,helpfully,behind,,
chivalrous,wish,start,upside-down,onto,,
jazzy,spot,sip,greedily,before,,
irate,church,trouble,forth,excepting,,
courageous,plants,suggest,surprisingly,for,,
outrageous,gold,phone,slightly,around,,
quarrelsome,trip,stir,only,between,,
weak,swing,dream,widely,until,,
female,cheese,decay,clearly,of,,
dependent,humor,whip,loftily,into,,
absorbing,apparel,look,sedately,round,,
unadvised,meal,untidy,knavishly,plus,,
thoughtless,mine,bat,steadily,across,,
aback,drink,listen,sharply,above,,
illustrious,tray,subtract,cautiously,anti,,
nappy,loaf,breathe,also,inside,,
faithful,bag,collect,rudely,besides,,
perfect,cough,park,thoughtfully,than,,
heady,calendar,ski,continually,against,,
accidental,porter,spare,fiercely,except,,
quaint,fruit,suspect,literally,regarding,,
temporary,sack,wave,unaccountably,as,,
sedate,drain,tickle,simply,beneath,,
finicky,jump,offer,else,despite,,
aberrant,believe,unlock,smoothly,concerning,,
fallacious,trade,bake,merrily,on,,
cute,knot,precede,questioningly,like,,
jittery,zoo,scream,obnoxiously,under,,
wry,pull,squeal,necessarily,save,,
silent,adjustment,trust,urgently,beyond,,
soft,rate,dress,more,beside,,
gifted,amount,talk,almost,upon,,
complete,knife,hunt,fairly,since,,
frantic,doctor,charge,bravely,towards,,
aspiring,ocean,travel,anyway,excluding,,
lame,title,tame,terrifically,among,,
materialistic,bucket,move,however,about,,
cloistered,friend,pull,coolly,along,,
caring,yard,bore,probably,but,,
vast,grass,pine,enthusiastically,near,,
helpless,table,book,lively,minus,,
instinctive,tongue,sign,overconfidently,to,,
educated,tank,rub,less,via,,
piquant,cast,add,shrilly,off,,
fanatical,ear,flower,mechanically,per,,
well-made,eggs,fool,unnecessarily,with,,
handsome,pear,pray,frightfully,after,,
vigorous,sweater,blot,calmly,below,,
prickly,celery,wash,gracefully,following,,
public,fall,brush,relatively,by,,
true,verse,open,usually,underneath,,
unable,design,rock,altogether,within,,
vagabond,page,surround,always,aboard,,
rapid,square,ruin,painfully,past,,
noiseless,tiger,reduce,often,through,,
wealthy,north,fix,courageously,amid,,
puzzled,country,argue,quickly,opposite,,
obsolete,muscle,blink,yesterday,over,,
abrupt,flavor,spot,well,,,
proud,party,help,zestfully,,,
extra-large,day,include,innocently,,,
paltry,error,punch,viciously,,,
colossal,dad,work,deliberately,,,
placid,horse,name,silently,,,
damp,army,thaw,enormously,,,
ill-fated,art,dry,cheerfully,,,
sable,soda,compare,ultimately,,,
polite,shelf,peck,heavily,,,
nonchalant,wine,influence,queerly,,,
boundless,animal,record,quaintly,,,
great,locket,fire,wetly,,,
supreme,end,lock,daily,,,
left,whistle,gaze,fervently,,,
internal,pest,produce,evenly,,,
groovy,coast,whisper,instantly,,,
uptight,yoke,inform,joshingly,,,
boring,cobweb,kill,briefly,,,
elated,color,whine,loudly,,,
possible,trousers,arrange,colorfully,,,
painstaking,blood,twist,upliftingly,,,
defeated,oranges,smell,freely,,,
mundane,aftermath,disappear,already,,,
brown,door,improve,quirkily,,,
bored,income,worry,victoriously,,,
malicious,peace,tumble,eagerly,,,
obscene,back,pat,triumphantly,,,
tame,berry,prefer,properly,,,
adamant,pipe,please,limply,,,
two,cakes,store,instead,,,
abortive,request,appreciate,finally,,,
crabby,plane,harm,gratefully,,,
better,basket,clear,justly,,,
inquisitive,representative,pop,noisily,,,
waiting,transport,practise,knowledgeably,,,
narrow,shock,stuff,upwardly,,,
maddening,daughter,cover,doubtfully,,,
grandiose,oatmeal,vanish,sweetly,,,
unnatural,duck,attend,fatally,,,
muddled,throne,snore,therefore,,,
resonant,vase,care,partially,,,
gabby,earthquake,accept,together,,,
boorish,scene,employ,sternly,,,
whimsical,linen,consist,easily,,,
bright,sidewalk,educate,dreamily,,,
testy,boot,bow,highly,,,
stupendous,thing,part,previously,,,
fortunate,guide,balance,originally,,,
crooked,potato,jail,acidly,,,
sulky,jeans,arrest,knowingly,,,
rainy,mom,impress,naturally,,,
sloppy,oven,shade,ahead,,,
flagrant,class,search,constantly,,,
useless,glass,heat,quietly,,,
coordinated,room,guarantee,healthily,,,
abrasive,eggnog,place,wearily,,,
general,water,last,tightly,,,
naughty,town,poke,exactly,,,
previous,step,list,suspiciously,,,
abashed,butter,cure,punctually,,,
uneven,umbrella,refuse,helplessly,,,
honorable,engine,zoom,wildly,,,
decorous,dress,tip,unbearably,,,
ubiquitous,night,save,vacantly,,,
tiny,channel,change,neatly,,,
nondescript,competition,rejoice,coaxingly,,,
organic,uncle,increase,uselessly,,,
deadpan,boundary,chop,diligently,,,
hollow,look,race,wisely,,,
berserk,minute,advise,woefully,,,
ahead,driving,heap,deceivingly,,,
famous,decision,chase,owlishly,,,
messy,cable,ignore,sympathetically,,,
five,order,jam,carelessly,,,
